TransmittingNode,ReceivingNode,Distance,Height,Foliage,PER
1,2,108,1.5,0,6.25
1,2,108,2,0,0.00
1,3,94,1.5,1,14.29
1,3,94,2,1,0.00
1,4,148,1.5,1,80.56
1,4,148,2,1,67.09
2,1,108,1.5,0,25.17
2,1,108,2,0,0.00
2,3,126,1.5,1,71.23
2,3,126,2,1,63.41
2,4,82,1.5,1,0.52
2,4,82,2,1,37.24
3,1,94,1.5,1,50.00
3,1,94,2,1,14.74
3,2,126,1.5,1,88.89
3,2,126,2,1,11.76
3,4,110,1.5,0,18.42
3,4,110,2,0,0.00
4,1,148,1.5,1,3.94
4,1,148,2,1,52.35
4,2,82,1.5,1,0.00
4,2,82,2,1,9.22
4,3,110,1.5,0,0.00
4,3,110,2,0,0.00